keV	QE (%)
49.9	0.048245783
50	0.047532432
50.1	0.046829629
50.2	0.046137217
50.3	0.045455043
50.4	0.044782956
50.5	0.044120806
50.6	0.043468446
50.7	0.042825732
50.8	0.042192521
50.9	0.041568672
51	0.040954048
51.1	0.040348511
51.2	0.039751928
51.3	0.039164165
51.4	0.038585093
51.5	0.038014583
51.6	0.037452509
51.7	0.036898745
51.8	0.036353169
51.9	0.03581566
52	0.035286098
52.1	0.034764366
52.2	0.034250348
52.3	0.033743931
52.4	0.033245001
52.5	0.032753449
52.6	0.032269164
52.7	0.03179204
52.8	0.03132197
52.9	0.030858851
53	0.03040258
53.1	0.029953054
53.2	0.029510176
53.3	0.029073845
53.4	0.028643966
53.5	0.028220443
53.6	0.027803183
53.7	0.027392091
53.8	0.026987078
53.9	0.026588054
54	0.026194929
54.1	0.025807617
54.2	0.025426032
54.3	0.025050089
54.4	0.024679704
54.5	0.024314796
54.6	0.023955283
54.7	0.023601086
54.8	0.023252126
54.9	0.022908326
55	0.022569609
55.1	0.0222359
55.2	0.021907125
55.3	0.021583212
55.4	0.021264088
55.5	0.020949682
55.6	0.020639925
55.7	0.020334748
55.8	0.020034083
55.9	0.019737864
56	0.019446025
56.1	0.0191585
56.2	0.018875227
56.3	0.018596143
56.4	0.018321185
56.5	0.018050292
56.6	0.017783405
56.7	0.017520463
56.8	0.01726141
56.9	0.017006187
57	0.016754738
57.1	0.016507006
57.2	0.016262937
57.3	0.016022477
57.4	0.015785573
57.5	0.015552171
57.6	0.015322221
57.7	0.01509567
57.8	0.014872469
57.9	0.014652568
58	0.014435919
58.1	0.014222473
58.2	0.014012183
58.3	0.013805002
58.4	0.013600884
58.5	0.013399785
58.6	0.013201659
58.7	0.013006462
58.8	0.012814152
58.9	0.012624685
59	0.012438019
59.1	0.012254114
59.2	0.012072927
59.3	0.01189442
59.4	0.011718552
59.5	0.011545284
59.6	0.011374578
59.7	0.011206397
59.8	0.011040701
59.9	0.010877456
60	0.010716625
60.1	0.010558171
60.2	0.010402061
60.3	0.010248258
60.4	0.01009673
60.5	0.009947442
60.6	0.009800362
60.7	0.009655456
60.8	0.009512693
60.9	0.00937204
61	0.009233468
61.1	0.009096944
61.2	0.008962438
61.3	0.008829922
61.4	0.008699365
61.5	0.008570738
61.6	0.008444013
61.7	0.008319162
61.8	0.008196157
61.9	0.008074971
62	0.007955576
62.1	0.007837947
62.2	0.007722057
62.3	0.00760788
62.4	0.007495392
62.5	0.007384567
62.6	0.00727538
62.7	0.007167808
62.8	0.007061827
62.9	0.006957412
63	0.006854542
63.1	0.006753192
63.2	0.006653341
63.3	0.006554966
63.4	0.006458046
63.5	0.006362559
63.6	0.006268484
63.7	0.006175799
63.8	0.006084486
63.9	0.005994522
64	0.005905888
64.1	0.005818565
64.2	0.005732533
64.3	0.005647773
64.4	0.005564267
64.5	0.005481995
64.6	0.005400939
64.7	0.005321082
64.8	0.005242406
64.9	0.005164893
65	0.005088526
65.1	0.005013289
65.2	0.004939163
65.3	0.004866134
65.4	0.004794184
65.5	0.004723299
65.6	0.004653461
65.7	0.004584656
65.8	0.004516869
65.9	0.004450083
66	0.004384285
66.1	0.00431946
66.2	0.004255594
66.3	0.004192672
66.4	0.00413068
66.5	0.004069605
66.6	0.004009432
66.7	0.00395015
66.8	0.003891744
66.9	0.003834202
67	0.00377751
67.1	0.003721657
67.2	0.003666629
67.3	0.003612415
67.4	0.003559003
67.5	0.00350638
67.6	0.003454536
67.7	0.003403458
67.8	0.003353135
67.9	0.003303557
68	0.003254711
68.1	0.003206588
68.2	0.003159176
68.3	0.003112465
68.4	0.003066445
68.5	0.003021105
68.6	0.002976436
68.7	0.002932427
68.8	0.002889069
68.9	0.002846352
69	0.002804266
69.1	0.002762803
69.2	0.002721953
69.3	0.002681707
69.4	0.002642056
69.5	0.002602991
69.6	0.002564504
69.7	0.002526585
69.8	0.002489228
69.9	0.002452423
70	0.002416162
70.1	0.002380437
70.2	0.00234524
70.3	0.002310564
70.4	0.002276401
70.5	0.002242743
70.6	0.002209582
70.7	0.002176912
70.8	0.002144724
70.9	0.002113013
71	0.00208177
71.1	0.00205099
71.2	0.002020664
71.3	0.001990787
71.4	0.001961352
71.5	0.001932352
71.6	0.001903781
71.7	0.001875632
71.8	0.001847899
71.9	0.001820577
72	0.001793658
72.1	0.001767137
72.2	0.001741009
72.3	0.001715267
72.4	0.001689905
72.5	0.001664919
72.6	0.001640302
72.7	0.001616048
72.8	0.001592154
72.9	0.001568613
73	0.00154542
73.1	0.001522569
73.2	0.001500057
73.3	0.001477878
73.4	0.001456026
73.5	0.001434498
73.6	0.001413287
73.7	0.001392391
73.8	0.001371803
73.9	0.00135152
74	0.001331537
74.1	0.001311849
74.2	0.001292452
74.3	0.001273343
74.4	0.001254515
74.5	0.001235966
74.6	0.001217692
74.7	0.001199687
74.8	0.001181949
74.9	0.001164473
75	0.001147255
75.1	0.001130292
75.2	0.00111358
75.3	0.001097115
75.4	0.001080893
75.5	0.001064911
75.6	0.001049166
75.7	0.001033653
75.8	0.00101837
75.9	0.001003312
76	0.000988478
76.1	0.000973862
76.2	0.000959463
76.3	0.000945276
76.4	0.0009313
76.5	0.00091753
76.6	0.000903963
76.7	0.000890598
76.8	0.00087743
76.9	0.000864456
77	0.000851674
77.1	0.000839082
77.2	0.000826675
77.3	0.000814452
77.4	0.00080241
77.5	0.000790546
77.6	0.000778857
77.7	0.000767341
77.8	0.000755995
77.9	0.000744817
78	0.000733805
78.1	0.000722955
78.2	0.000712265
78.3	0.000701734
78.4	0.000691358
78.5	0.000681136
78.6	0.000671065
78.7	0.000661143
78.8	0.000651367
78.9	0.000641736
79	0.000632248
79.1	0.000622899
79.2	0.000613689
79.3	0.000604615
79.4	0.000595676
79.5	0.000586868
79.6	0.000578191
79.7	0.000569642
79.8	0.000561219
79.9	0.000552921
80	0.000544746
80.1	0.000536691
80.2	0.000528756
80.3	0.000520938
80.4	0.000513236
80.5	0.000505647
80.6	0.000498171
80.7	0.000490805
80.8	0.000483548
80.9	0.000476398
81	0.000469354
81.1	0.000462415
81.2	0.000455577
81.3	0.000448841
81.4	0.000442205
81.5	0.000435667
81.6	0.000429225
81.7	0.000422878
81.8	0.000416626
81.9	0.000410466
82	0.000404397
82.1	0.000398417
82.2	0.000392526
82.3	0.000386723
82.4	0.000381005
82.5	0.000375371
82.6	0.000369821
82.7	0.000364353
82.8	0.000358966
82.9	0.000353658
83	0.000348429
83.1	0.000343277
83.2	0.000338202
83.3	0.000333201
83.4	0.000328274
83.5	0.000323421
83.6	0.000318639
83.7	0.000313927
83.8	0.000309286
83.9	0.000304713
84	0.000300207
84.1	0.000295768
84.2	0.000291395
84.3	0.000287087
84.4	0.000282842
84.5	0.00027866
84.6	0.00027454
84.7	0.000270481
84.8	0.000266481
84.9	0.000262541
85	0.000258659
85.1	0.000254835
85.2	0.000251067
85.3	0.000247355
85.4	0.000243697
85.5	0.000240094
85.6	0.000236544
85.7	0.000233047
85.8	0.000229601
85.9	0.000226206
86	0.000222861
86.1	0.000219566
86.2	0.00021632
86.3	0.000213121
86.4	0.00020997
86.5	0.000206866
86.6	0.000203807
86.7	0.000200793
86.8	0.000197825
86.9	0.0001949
87	0.000192018
87.1	0.000189179
87.2	0.000186382
87.3	0.000183626
87.4	0.000180911
