Wavelength,Correction Factor
2.017473758436992455e+02,1.123293252005471863e-03
2.018124559845744841e+02,1.128956363376659895e-03
2.018775363311665103e+02,1.120701169011395146e-03
2.019426168823555656e+02,1.125233892209323572e-03
2.020076976370213231e+02,1.116875557460386042e-03
2.020727785940431147e+02,1.118317464832875065e-03
2.021378597522997893e+02,1.113161367541823247e-03
2.022029411106698262e+02,1.114542112169830766e-03
2.022680226680310795e+02,1.105169931753945947e-03
2.023331044232612044e+02,1.108727927819455920e-03
2.023981863752372021e+02,1.107847289107713375e-03
2.024632685228357616e+02,1.106583332532268390e-03
2.025283508649330599e+02,1.098847879532881223e-03
2.025934334004047912e+02,1.097451898490226820e-03
2.026585161281263083e+02,1.092138635042676741e-03
2.027235990469724811e+02,1.092138052896994603e-03
2.027886821558176393e+02,1.079017864467962315e-03
2.028537654535358570e+02,1.089802873867963410e-03
2.029188489390006112e+02,1.080672356156096121e-03
2.029839326110849527e+02,1.077468811043121597e-03
2.030490164686615628e+02,1.071059503514925574e-03
2.031141005106025830e+02,1.077274491144114121e-03
2.031791847357797565e+02,1.064789095155607582e-03
2.032442691430644004e+02,1.064422021756294230e-03
2.033093537313274055e+02,1.059562212139550721e-03
2.033744384994390941e+02,1.059856515035648540e-03
2.034395234462695043e+02,1.052242281978388013e-03
2.035046085706881058e+02,1.048126271557818902e-03
2.035696938715639703e+02,1.049057189054838782e-03
2.036347793477657717e+02,1.047957837138057411e-03
2.036998649981615870e+02,1.032237569622944818e-03
2.037649508216192658e+02,1.036975462104620287e-03
2.038300368170060892e+02,1.031475257247215080e-03
2.038951229831887986e+02,1.025608359479241848e-03
2.039602093190339360e+02,1.020645064185333843e-03
2.040252958234073617e+02,1.026154099350609162e-03
2.040903824951746230e+02,1.013852290529445102e-03
2.041554693332007560e+02,1.015293555268381200e-03
2.042205563363503984e+02,1.003533163082546845e-03
2.042856435034877620e+02,1.003734723497523226e-03
2.043507308334765469e+02,1.003437899842134435e-03
2.044158183251800551e+02,9.964892239666099400e-04
2.044809059774610773e+02,9.901600328725919300e-04
2.045459937891820914e+02,9.882094872192136344e-04
2.046110817592049784e+02,9.879239376100593974e-04
2.046761698863912784e+02,9.834096126334762600e-04
2.047412581696020197e+02,9.733178583574360375e-04
2.048063466076978614e+02,9.753610558010871682e-04
2.048714351995389791e+02,9.660478272948824904e-04
2.049365239439850654e+02,9.645409253439215548e-04
2.050016128398953867e+02,9.620334704992302300e-04
2.050667018861288682e+02,9.604761425810595188e-04
2.051317910815437529e+02,9.617509169684592112e-04
2.051968804249981133e+02,9.570046496062056471e-04
2.052619699153494537e+02,9.485402238742197218e-04
2.053270595514547381e+02,9.546047202150155118e-04
2.053921493321706748e+02,9.458261865020063100e-04
2.054572392563533469e+02,9.435422188513111104e-04
2.055223293228584964e+02,9.448330570506312124e-04
2.055874195305414105e+02,9.423930726074876505e-04
2.056525098782569501e+02,9.349230329285265978e-04
2.057176003648594644e+02,9.355759257761238519e-04
2.057826909892029050e+02,9.300856928604211461e-04
2.058477817501407685e+02,9.369608929236954067e-04
2.059128726465261252e+02,9.291718828466823815e-04
2.059779636772115339e+02,9.316214539537095735e-04
2.060430548410491554e+02,9.254079858552366911e-04
2.061081461368907810e+02,9.343410250149036594e-04
2.061732375635876053e+02,9.259320898774393372e-04
2.062383291199905102e+02,9.278676945242898301e-04
2.063034208049498375e+02,9.289578784412555034e-04
2.063685126173155027e+02,9.296998659414125194e-04
2.064336045559370518e+02,9.302049978286843846e-04
2.064986966196635478e+02,9.293127821997192303e-04
2.065637888073434567e+02,9.282231288716117799e-04
2.066288811178250739e+02,9.317480950385195184e-04
2.066939735499560697e+02,9.280512009873731699e-04
2.067590661025837449e+02,9.376093044983265651e-04
2.068241587745548031e+02,9.360250949866625756e-04
2.068892515647157211e+02,9.313872731549064548e-04
2.069543444719124352e+02,9.306817195634739526e-04
2.070194374949903704e+02,9.389024782553121199e-04
2.070845306327946105e+02,9.349150411364988596e-04
2.071496238841697277e+02,9.410765166004727948e-04
2.072147172479598680e+02,9.368334384929255434e-04
2.072798107230087794e+02,9.407040476354321633e-04
2.073449043081596983e+02,9.377632444925691887e-04
2.074099980022554348e+02,9.375108414263940695e-04
2.074750918041383443e+02,9.349684115397693821e-04
2.075401857126503558e+02,9.495279926003627208e-04
2.076052797266329719e+02,9.474203524751554327e-04
2.076703738449272407e+02,9.485655689942785150e-04
2.077354680663736985e+02,9.471978581994746921e-04
2.078005623898125691e+02,9.456487188912515371e-04
2.078656568140834793e+02,9.476671494509907728e-04
2.079307513380257149e+02,9.535189970587660494e-04
2.079958459604781069e+02,9.478510434705655690e-04
2.080609406802789465e+02,9.554286550067896122e-04
2.081260354962662404e+02,9.501917153986713703e-04
2.081911304072774271e+02,9.565125900564591709e-04
2.082562254121495471e+02,9.516885976141163011e-04
2.083213205097191860e+02,9.560012797587865005e-04
2.083864156988224465e+02,9.565179194959063259e-04
2.084515109782950049e+02,9.603700388793496049e-04
2.085166063469721962e+02,9.578908053893440619e-04
2.085817018036888442e+02,9.627673242542148478e-04
2.086467973472792039e+02,9.566642934344121588e-04
2.087118929765772464e+02,9.609688016227419059e-04
2.087769886904164593e+02,9.631355062143878449e-04
2.088420844876298190e+02,9.600743842640517816e-04
2.089071803670499037e+02,9.600372968182009420e-04
2.089722763275088937e+02,9.653027383575893926e-04
2.090373723678384863e+02,9.610437432496398607e-04
2.091024684868698955e+02,9.618737958999484024e-04
2.091675646834339091e+02,9.562790661498040421e-04
2.092326609563608883e+02,9.615723773979472592e-04
2.092977573044807968e+02,9.648382314266173250e-04
2.093628537266230012e+02,9.576685270021247261e-04
2.094279502216166406e+02,9.592291397297368150e-04
2.094930467882901439e+02,9.592624470540416859e-04
2.095581434254717692e+02,9.543227501637631003e-04
2.096232401319891494e+02,9.545421493112384590e-04
2.096883369066695479e+02,9.523496580569313329e-04
2.097534337483397451e+02,9.535792086491322317e-04
2.098185306558260663e+02,9.455108555946734441e-04
2.098836276279544109e+02,9.437925675706538252e-04
2.099487246635502800e+02,9.451869609654205053e-04
2.100138217614387202e+02,9.483324220274049659e-04
2.100789189204442096e+02,9.435880944940261894e-04
2.101440161393909420e+02,9.447458084696537268e-04
2.102091134171025715e+02,9.402410549411456802e-04
2.102742107524023538e+02,9.350934500157831149e-04
2.103393081441130050e+02,9.380375328378394613e-04
2.104044055910569568e+02,9.410191946462208778e-04
2.104695030920560725e+02,9.319203132437528037e-04
2.105346006459317607e+02,9.302374219589701430e-04
2.105996982515051457e+02,9.315635877289189706e-04
2.106647959075967265e+02,9.292501360501113439e-04
2.107298936130266043e+02,9.276413632685772109e-04
2.107949913666144539e+02,9.319843190677853896e-04
2.108600891671795239e+02,9.274308874544694246e-04
2.109251870135406079e+02,9.218340852117313990e-04
2.109902849045160451e+02,9.170010674523455460e-04
2.110553828389237481e+02,9.223216922664274854e-04
2.111204808155810895e+02,9.162461581856721441e-04
2.111855788333051578e+02,9.109310643317557665e-04
2.112506768909124730e+02,9.071391461221220550e-04
2.113157749872191005e+02,9.121491065367684590e-04
2.113808731210408212e+02,9.111566919904984197e-04
2.114459712911927909e+02,9.089289801248971864e-04
2.115110694964897959e+02,9.075946751838626612e-04
2.115761677357461679e+02,9.030655242271807496e-04
2.116412660077758119e+02,9.017962146205315893e-04
2.117063643113921501e+02,9.019082440713888441e-04
2.117714626454082065e+02,8.934463054932678325e-04
2.118365610086364939e+02,8.993893171509921049e-04
2.119016593998891551e+02,8.948151071226772418e-04
2.119667578179778786e+02,8.975875912552616935e-04
2.120318562617138411e+02,8.893316993425030023e-04
2.120969547299078215e+02,8.911949828568324801e-04
2.121620532213701722e+02,8.889529575923123391e-04
2.122271517349107626e+02,8.921346362378175781e-04
2.122922502693390072e+02,8.868955062084487055e-04
2.123573488234639512e+02,8.898058613095762015e-04
2.124224473960940998e+02,8.846865251346311800e-04
2.124875459860375884e+02,8.808766803158884226e-04
2.125526445921020695e+02,8.788673940816899965e-04
2.126177432130947125e+02,8.812440603823696716e-04
2.126828418478223739e+02,8.805727028404728178e-04
2.127479404950912851e+02,8.808750715138658318e-04
2.128130391537073365e+02,8.763714750079012062e-04
2.128781378224760488e+02,8.780674612511232954e-04
2.129432365002023744e+02,8.753758310767688865e-04
2.130083351856907825e+02,8.834381967255063896e-04
2.130734338777454582e+02,8.742788475764031939e-04
2.131385325751700179e+02,8.775135422775328948e-04
2.132036312767676804e+02,8.751798246228971109e-04
2.132687299813411812e+02,8.762866162384010116e-04
2.133338286876928862e+02,8.742044600544772144e-04
2.133989273946246215e+02,8.768045888453801333e-04
2.134640261009379003e+02,8.798110953616946521e-04
2.135291248054335824e+02,8.814783705782977498e-04
2.135942235069123001e+02,8.803831674245505591e-04
2.136593222041741171e+02,8.766218551404526523e-04
2.137244208960186427e+02,8.733951994519861860e-04
2.137895195812451732e+02,8.820141991886769209e-04
2.138546182586523798e+02,8.778417054685857569e-04
2.139197169270386212e+02,8.819832850114259475e-04
2.139848155852018010e+02,8.854355783683053515e-04
2.140499142319392547e+02,8.832980495604401960e-04
2.141150128660479766e+02,8.817006768060095838e-04
2.141801114863245914e+02,8.897702192158336507e-04
2.142452100915650703e+02,8.868192163329941154e-04
2.143103086805651003e+02,8.902733210433237806e-04
2.143754072521199419e+02,8.847903314413685903e-04
2.144405058050242872e+02,8.970650472623980468e-04
2.145056043380724020e+02,8.882404700301749310e-04
2.145707028500582396e+02,8.985308559169314377e-04
2.146358013397752131e+02,8.970264530979971508e-04
2.147008998060161957e+02,9.042241496091020384e-04
2.147659982475738047e+02,8.996007413964790056e-04
2.148310966632401176e+02,8.938542979866858067e-04
2.148961950518067567e+02,9.005102090928982514e-04
2.149612934120648902e+02,9.034969247802834358e-04
2.150263917428053162e+02,9.030793039049943684e-04
2.150914900428183216e+02,9.045872390216578175e-04
2.151565883108937101e+02,9.014058954062430544e-04
2.152216865458209440e+02,9.036148100502226039e-04
2.152867847463890314e+02,9.005811080846029158e-04
2.153518829113864115e+02,9.036680825570073952e-04
2.154169810396012679e+02,8.977355196738982974e-04
2.154820791298211020e+02,9.043933379811977969e-04
2.155471771808332164e+02,9.023815831326832595e-04
2.156122751914242883e+02,9.033832518607269428e-04
2.156773731603805970e+02,9.030699804082679668e-04
2.157424710864880808e+02,9.066474366013503507e-04
2.158075689685320810e+02,9.031429997073286454e-04
2.158726668052975697e+02,9.074579175189211597e-04
2.159377645955690923e+02,9.015132747236764789e-04
2.160028623381307398e+02,8.997030331918920128e-04
2.160679600317660629e+02,8.998480024705119351e-04
2.161330576752582431e+02,9.003348924914916568e-04
2.161981552673901206e+02,8.972476544024803350e-04
2.162632528069439104e+02,8.973356687900954339e-04
2.163283502927014865e+02,8.933893943382510390e-04
2.163934477234442397e+02,8.923503728289975800e-04
2.164585450979531345e+02,8.879028700197640067e-04
2.165236424150087089e+02,8.983166272351403693e-04
2.165887396733909327e+02,8.922025658032330759e-04
2.166538368718795766e+02,8.936488362357833436e-04
2.167189340092536725e+02,8.870716329469263348e-04
2.167840310842920815e+02,8.874994261534221562e-04
2.168491280957730112e+02,8.851120194999788533e-04
2.169142250424743281e+02,8.819067205662381968e-04
2.169793219231734156e+02,8.757310356053970299e-04
2.170444187366472590e+02,8.768934650972311359e-04
2.171095154816723038e+02,8.750673425776000656e-04
2.171746121570246544e+02,8.730985489523363820e-04
2.172397087614799602e+02,8.662351758341413311e-04
2.173048052938133310e+02,8.686148735035083236e-04
